"Record ID","Study label","Overall risk of bias category incorporating domain-specific scores for CC and Cohort studies"
1,#9075,"LOW (0)"
2,#3443,"LOW (0)"
4,#6167,"LOW (0)"
5,#21721,"LOW (0)"
6,#1471,"LOW (0)"
7,#6794,"LOW (0)"
8,#6950,"LOW (0)"
10,_#2063,"LOW (0)"
11,#9276,"LOW (0)"
12,#23773,"LOW (0)"
13,#10470,"LOW (0)"
15,#4454,"HIGH (2)"
16,_#116,"HIGH (2)"
18,#5488,"LOW (0)"
19,#782,"HIGH (2)"
20,#5806,"LOW (0)"
21,#6443,"LOW (0)"
22,#15755,"LOW (0)"
24,#2008,"HIGH (2)"
25,#16358,"HIGH (2)"
26,#8321,"LOW (0)"
27,#2339,"LOW (0)"
28,#8569,"LOW (0)"
29,#8588,"LOW (0)"
30,#9547,"MODERATE/SOME CONCERNS(1)"
31,#9546,"LOW (0)"
34,#3394,"LOW (0)"
35,#10424,"LOW (0)"
37,#3980,"HIGH (2)"
38,#4651,"MODERATE/SOME CONCERNS(1)"
39,#5870,"HIGH (2)"
40,#21593,"HIGH (2)"
41,#1605,"LOW (0)"
42,#7666,"LOW (0)"
43,#2376,"HIGH (2)"
44,#2631,"LOW (0)"
45,#2667,"LOW (0)"
46,#10945,"MODERATE/SOME CONCERNS(1)"
47,#428,"LOW (0)"
49,#4486,"HIGH (2)"
50,#20369,"MODERATE/SOME CONCERNS(1)"
51,#13170,"LOW (0)"
52,#4837,"LOW (0)"
53,#4960,"HIGH (2)"
57,#5255,"LOW (0)"
58,#633,"HIGH (2)"
59,#5520,"HIGH (2)"
60,#5560,"LOW (0)"
61,#28053,"LOW (0)"
62,#21167,"LOW (0)"
63,#5883,"HIGH (2)"
64,#6030,"HIGH (2)"
65,#1130,"HIGH (2)"
66,#1181,"MODERATE/SOME CONCERNS(1)"
67,#1407,"MODERATE/SOME CONCERNS(1)"
68,#1574,"HIGH (2)"
69,#1900,"LOW (0)"
70,#7737,"HIGH (2)"
72,#7891,"LOW (0)"
73,#2068,"LOW (0)"
74,#7907,"LOW (0)"
75,#8011,"HIGH (2)"
76,#22825,"HIGH (2)"
77,#2222,"HIGH (2)"
78,#16794,"HIGH (2)"
79,#11770,"HIGH (2)"
81,#2559,"MODERATE/SOME CONCERNS(1)"
82,#8693,"HIGH (2)"
83,#2751,"LOW (0)"
85,#2768,"HIGH (2)"
87,#2916,"LOW (0)"
88,#2957,"LOW (0)"
89,#2956,"LOW (0)"
90,#9295,"HIGH (2)"
92,#23868,"HIGH (2)"
94,#3135,"LOW (0)"
95,#3137,"MODERATE/SOME CONCERNS(1)"
97,#10102,"MODERATE/SOME CONCERNS(1)"
98,#10114,"LOW (0)"
99,#24371,"LOW (0)"
100,#18764,"HIGH (2)"
101,#19017,"LOW (0)"
102,#19044,"LOW (0)"
103,#24752,"LOW (0)"
104,#3727,"LOW (0)"
105,#3948,"HIGH (2)"
106,#25149,"LOW (0)"
107,#4131,"LOW (0)"
109,#4409,"MODERATE/SOME CONCERNS(1)"
111,#13386,"LOW (0)"
112,#6208,"HIGH (2)"
113,#1212,"HIGH (2)"
114,#1210,"HIGH (2)"
115,#6236,"HIGH (2)"
116,#7598,"HIGH (2)"
119,#3691,"HIGH (2)"
120,#25300,"HIGH (2)"
121,#38922,"HIGH (2)"
122,#4622,"LOW (0)"
123,#4716,"LOW (0)"
124,#4880,"LOW (0)"
125,#416,"HIGH (2)"
126,#4933,"LOW (0)"
127,#4932,"LOW (0)"
128,#5191,"MODERATE/SOME CONCERNS(1)"
129,#5332,"HIGH (2)"
130,#13821,"MODERATE/SOME CONCERNS(1)"
131,#763,"MODERATE/SOME CONCERNS(1)"
132,#5532,"MODERATE/SOME CONCERNS(1)"
134,#907,"LOW (0)"
135,#5965,"LOW (0)"
136,#6180,"MODERATE/SOME CONCERNS(1)"
137,#6376,"LOW (0)"
138,#6524,"HIGH (2)"
139,#1388,"MODERATE/SOME CONCERNS(1)"
140,#1665,"MODERATE/SOME CONCERNS(1)"
142,#1761,"LOW (0)"
144,#7465,"LOW (0)"
145,#2378,"LOW (0)"
147,#8551,"HIGH (2)"
148,#2581,"LOW (0)"
149,#8828,"MODERATE/SOME CONCERNS(1)"
150,#2779,"LOW (0)"
151,#9379,"LOW (0)"
152,#9507,"LOW (0)"
154,#9910,"LOW (0)"
159,#10879,"LOW (0)"
161,#8982,"HIGH (2)"
162,#9094,"HIGH (2)"
163,#4695,"HIGH (2)"
164,#19,"LOW (0)"
165,#4320,"MODERATE/SOME CONCERNS(1)"
166,#24,"LOW (0)"
167,#4303,"LOW (0)"
168,#4340,"HIGH (2)"
170,#40,"LOW (0)"
171,#46,"HIGH (2)"
172,#4362,"HIGH (2)"
173,#4368,"HIGH (2)"
174,#77,"HIGH (2)"
176,#4459,"HIGH (2)"
177,#4476,"HIGH (2)"
178,#119,"HIGH (2)"
180,#13033,"HIGH (2)"
182,#156,"HIGH (2)"
183,#4532,"HIGH (2)"
185,#178,"HIGH (2)"
186,#183,"HIGH (2)"
187,#4579,"HIGH (2)"
188,#4590,"HIGH (2)"
189,#202,"LOW (0)"
190,#13126,"LOW (0)"
194,#233,"LOW (0)"
195,#20412,"HIGH (2)"
196,#244,"HIGH (2)"
197,#20449,"HIGH (2)"
199,#4742,"MODERATE/SOME CONCERNS(1)"
200,#4744,"HIGH (2)"
201,#4765,"HIGH (2)"
202,#314,"HIGH (2)"
203,#4774,"LOW (0)"
204,#328,"HIGH (2)"
205,#338,"LOW (0)"
206,#337,"LOW (0)"
207,#367,"HIGH (2)"
208,#4849,"HIGH (2)"
209,#4877,"HIGH (2)"
210,#4916,"HIGH (2)"
211,#13419,"HIGH (2)"
212,#448,"HIGH (2)"
213,#4993,"HIGH (2)"
216,#484,"LOW (0)"
218,#506,"HIGH (2)"
220,#5079,"LOW (0)"
222,#525,"HIGH (2)"
225,#548,"HIGH (2)"
226,#5193,"LOW (0)"
227,#5200,"LOW (0)"
228,#630,"HIGH (2)"
235,#5392,"LOW (0)"
236,#5393,"LOW (0)"
238,#5400,"HIGH (2)"
239,#5402,"LOW (0)"
240,#706,"LOW (0)"
241,#5454,"LOW (0)"
243,#20993,"LOW (0)"
244,#5464,"HIGH (2)"
245,#5478,"LOW (0)"
246,#768,"HIGH (2)"
247,#5483,"HIGH (2)"
248,#5489,"HIGH (2)"
249,#5486,"MODERATE/SOME CONCERNS(1)"
250,#784,"MODERATE/SOME CONCERNS(1)"
251,#776,"LOW (0)"
252,#5494,"LOW (0)"
253,#21056,"LOW (0)"
254,#5539,"HIGH (2)"
255,#5595,"LOW (0)"
256,#5609,"HIGH (2)"
259,#5696,"HIGH (2)"
260,#871,"HIGH (2)"
261,#5779,"HIGH (2)"
262,#5758,"HIGH (2)"
263,#5811,"LOW (0)"
264,#1001,"HIGH (2)"
265,#5888,"LOW (0)"
266,#1013,"HIGH (2)"
269,#5917,"HIGH (2)"
271,#1051,"MODERATE/SOME CONCERNS(1)"
272,#5982,"LOW (0)"
274,#6041,"LOW (0)"
275,#6043,"HIGH (2)"
276,#1107,"LOW (0)"
278,#1117,"LOW (0)"
279,#6099,"LOW (0)"
280,#21482,"LOW (0)"
281,#6143,"HIGH (2)"
282,#1175,"HIGH (2)"
283,#1199,"HIGH (2)"
284,#6193,"HIGH (2)"
286,#1208,"LOW (0)"
287,#6209,"HIGH (2)"
288,#1221,"HIGH (2)"
290,#6252,"LOW (0)"
291,#6253,"HIGH (2)"
292,#6266,"LOW (0)"
293,#1246,"HIGH (2)"
294,#21621,"HIGH (2)"
295,#6300,"LOW (0)"
296,#1265,"LOW (0)"
297,#1266,"LOW (0)"
299,#6372,"LOW (0)"
300,#1359,"HIGH (2)"
301,#6336,"LOW (0)"
302,#6348,"LOW (0)"
303,#6361,"LOW (0)"
305,#21702,"HIGH (2)"
307,#1336,"HIGH (2)"
308,#14940,"HIGH (2)"
309,#21752,"LOW (0)"
310,#21760,"HIGH (2)"
312,#6513,"LOW (0)"
313,#15013,"HIGH (2)"
315,#6561,"HIGH (2)"
316,#6597,"LOW (0)"
317,#12280,"LOW (0)"
318,#1415,"LOW (0)"
321,#6708,"HIGH (2)"
322,#6771,"LOW (0)"
323,#1527,"HIGH (2)"
325,#15356,"HIGH (2)"
327,#6931,"MODERATE/SOME CONCERNS(1)"
329,#1606,"HIGH (2)"
330,#1629,"LOW (0)"
331,#1627,"HIGH (2)"
334,#1647,"LOW (0)"
335,#7078,"LOW (0)"
336,#1648,"LOW (0)"
337,#7105,"HIGH (2)"
338,#1670,"MODERATE/SOME CONCERNS(1)"
339,#12347,"HIGH (2)"
340,#7139,"LOW (0)"
341,#7142,"LOW (0)"
342,#22192,"LOW (0)"
343,#7164,"HIGH (2)"
345,#15668,"HIGH (2)"
346,#7190,"HIGH (2)"
347,#1712,"HIGH (2)"
348,#22221,"HIGH (2)"
349,#7191,"HIGH (2)"
350,#1735,"HIGH (2)"
352,#1739,"LOW (0)"
353,#7241,"HIGH (2)"
354,#11951,"LOW (0)"
356,#7297,"LOW (0)"
357,#7327,"HIGH (2)"
360,#15830,"HIGH (2)"
361,#7370,"HIGH (2)"
362,#7400,"HIGH (2)"
363,#22376,"HIGH (2)"
365,#1849,"MODERATE/SOME CONCERNS(1)"
366,#7501,"HIGH (2)"
370,#7521,"LOW (0)"
373,#1896,"LOW (0)"
374,#1913,"LOW (0)"
376,#7564,"LOW (0)"
377,#1921,"HIGH (2)"
378,#1934,"LOW (0)"
379,#1948,"HIGH (2)"
380,#16179,"MODERATE/SOME CONCERNS(1)"
382,#22585,"HIGH (2)"
383,#22595,"HIGH (2)"
384,#8197,"HIGH (2)"
385,#2252,"HIGH (2)"
386," #7774","HIGH (2)"
387,#2023,"HIGH (2)"
389,#2033,"LOW (0)"
390,#22655,"MODERATE/SOME CONCERNS(1)"
391,#2043,"MODERATE/SOME CONCERNS(1)"
392,#7881,"HIGH (2)"
393,#7882,"LOW (0)"
394,#16349,"HIGH (2)"
396,#2066,"HIGH (2)"
398,#2076,"LOW (0)"
399,#2089,"LOW (0)"
400,#7937,"HIGH (2)"
401,#7846,"LOW (0)"
402,#7847,"LOW (0)"
403,#7943,"LOW (0)"
404,#2105,"HIGH (2)"
405,#2106,"HIGH (2)"
406,#22737,"LOW (0)"
407,#7951,"LOW (0)"
408,#8025,"HIGH (2)"
410,#32258,"HIGH (2)"
411,#2165,"LOW (0)"
412,#8092,"HIGH (2)"
413,#8103,"LOW (0)"
414,#2183,"LOW (0)"
415,#2182,"LOW (0)"
418,#2231,"HIGH (2)"
419,#2229,"HIGH (2)"
420,#8201,"LOW (0)"
421,#16712,"HIGH (2)"
422,#8238,"LOW (0)"
423,#8240,"LOW (0)"
424,#8278,"LOW (0)"
425,#8294,"HIGH (2)"
426,#8305,"HIGH (2)"
427,#2314,"HIGH (2)"
428,#2316,"LOW (0)"
430,#8320,"LOW (0)"
431,#8394,"HIGH (2)"
432,#8397,"HIGH (2)"
433,#16883,"HIGH (2)"
434,#8432,"LOW (0)"
435,#2405,"LOW (0)"
438,#8481,"HIGH (2)"
439,#8492,"HIGH (2)"
440,#23153,"LOW (0)"
441,#2444,"LOW (0)"
442,#8535,"LOW (0)"
443,#17051,"HIGH (2)"
445,#8593,"MODERATE/SOME CONCERNS(1)"
446,#17154,"HIGH (2)"
447,#8672,"LOW (0)"
448,#2557,"LOW (0)"
449,#8678,"MODERATE/SOME CONCERNS(1)"
451,#8692,"HIGH (2)"
452,#8703,"LOW (0)"
453,#8718,"HIGH (2)"
454,#8735,"HIGH (2)"
455,#8739,"LOW (0)"
457,#23354,"LOW (0)"
458,#8796,"LOW (0)"
460,#8844,"LOW (0)"
461,#8848,"HIGH (2)"
462,#17350,"HIGH (2)"
463,#17357,"HIGH (2)"
464,#2677,"LOW (0)"
465,#8873,"HIGH (2)"
466,#2684,"HIGH (2)"
467,#2692,"HIGH (2)"
468,#2695,"LOW (0)"
469,#8892,"HIGH (2)"
470,#23468,"LOW (0)"
471,#23473,"HIGH (2)"
472,#2715,"LOW (0)"
473,#2742,"HIGH (2)"
474,#8955,"LOW (0)"
475,#8961,"HIGH (2)"
477,#2762,"HIGH (2)"
478,#2773,"LOW (0)"
479,#17515,"HIGH (2)"
480,#9013,"HIGH (2)"
481,#2796,"LOW (0)"
483,#9334,"HIGH (2)"
484,#9105,"HIGH (2)"
485,#2845,"HIGH (2)"
487,#9151,"HIGH (2)"
488,#9154,"MODERATE/SOME CONCERNS(1)"
489,#17692,"HIGH (2)"
491,#23715,"LOW (0)"
492,#23729,"HIGH (2)"
493,#9213,"LOW (0)"
494,#9227,"LOW (0)"
495,#2925,"LOW (0)"
496,#9233,"HIGH (2)"
497,#9241,"HIGH (2)"
498,#17803,"HIGH (2)"
499,#9319,"HIGH (2)"
500,#9320,"HIGH (2)"
501,#9345,"LOW (0)"
502,#3014,"LOW (0)"
503,#3018,"HIGH (2)"
504,#3019,"LOW (0)"
505,#9407,"HIGH (2)"
509,#9582,"HIGH (2)"
510,#9595,"HIGH (2)"
512,#3168,"HIGH (2)"
513,#9686,"HIGH (2)"
514,#3178,"HIGH (2)"
515,#9701,"MODERATE/SOME CONCERNS(1)"
516,#9734,"LOW (0)"
518,#3209,"HIGH (2)"
519,#9763,"MODERATE/SOME CONCERNS(1)"
520,#3241,"MODERATE/SOME CONCERNS(1)"
521,#24180,"HIGH (2)"
524,#18485,"LOW (0)"
525,#3337,"LOW (0)"
526,#10011,"HIGH (2)"
527,#3351,"HIGH (2)"
528,#10032,"LOW (0)"
529,#10041,"HIGH (2)"
530,#10043,"HIGH (2)"
531,#10056,"LOW (0)"
532,#10057,"LOW (0)"
533,#24345,"LOW (0)"
534,#10083,"HIGH (2)"
535,#10101,"LOW (0)"
536,#18637,"HIGH (2)"
537,#10138,"MODERATE/SOME CONCERNS(1)"
539,#3434,"LOW (0)"
541,#10228,"LOW (0)"
542,#10236,"HIGH (2)"
543,#3468,"HIGH (2)"
544,#10254,"LOW (0)"
545,#3481,"HIGH (2)"
546,#10264,"HIGH (2)"
547,#10367,"HIGH (2)"
548,#24573,"HIGH (2)"
549,#3602,"MODERATE/SOME CONCERNS(1)"
550,#3592,"HIGH (2)"
551,#10420,"LOW (0)"
553,#10431,"LOW (0)"
554,#3634,"HIGH (2)"
555,#10466,"HIGH (2)"
557,#10479,"LOW (0)"
558,#19001,"HIGH (2)"
560,#19019,"LOW (0)"
561,#10507,"LOW (0)"
562,#10522,"LOW (0)"
564,#10548,"HIGH (2)"
565,#10549,"HIGH (2)"
566,#10550,"MODERATE/SOME CONCERNS(1)"
567,#3688,"HIGH (2)"
568,#10568,"LOW (0)"
569,#10585,"HIGH (2)"
570,#10617,"HIGH (2)"
571,#37186,"HIGH (2)"
572,#24824,"HIGH (2)"
573,#3796,"HIGH (2)"
576,#10824,"LOW (0)"
577,#24912,"HIGH (2)"
578,#10878,"LOW (0)"
579,#24941,"HIGH (2)"
580,#10883,"LOW (0)"
581,#10952,"HIGH (2)"
582,#3927,"LOW (0)"
583,#3937,"LOW (0)"
584,#12733,"HIGH (2)"
585,#19530,"MODERATE/SOME CONCERNS(1)"
587,#40038,"LOW (0)"
589,#11097,"LOW (0)"
590,#11107,"HIGH (2)"
591,#3989,"MODERATE/SOME CONCERNS(1)"
592,#3999,"HIGH (2)"
593,#11161,"LOW (0)"
595,#11174,"LOW (0)"
596,#11193,"LOW (0)"
598,#4039,"LOW (0)"
599,#11227,"HIGH (2)"
600,#4093,"LOW (0)"
601,#19817,"MODERATE/SOME CONCERNS(1)"
602,#11312,"LOW (0)"
603,#4110,"HIGH (2)"
604,#11317,"HIGH (2)"
605,#11335,"LOW (0)"
606,#11344,"HIGH (2)"
607,#11374,"HIGH (2)"
609,#11376,"MODERATE/SOME CONCERNS(1)"
610,#11385,"LOW (0)"
611,#4155,"HIGH (2)"
612,#4169,"LOW (0)"
613,#11414,"LOW (0)"
614,#11416,"LOW (0)"
615,#4195,"MODERATE/SOME CONCERNS(1)"
616,#11585,"LOW (0)"
617," #11574","MODERATE/SOME CONCERNS(1)"
618,#25499,"LOW (0)"
619,#4272,"LOW (0)"
620,#11603,"HIGH (2)"
621,#32816,"LOW (0)"
623,#38920,"HIGH (2)"
627,#38977,"LOW (0)"
628,#38986,"LOW (0)"
629,#39029,"LOW (0)"
630,#39217,"HIGH (2)"
631,#39260,"LOW (0)"
632,#39262,"LOW (0)"
633,#39341,"LOW (0)"
634,#39349,"HIGH (2)"
635,#39405,"HIGH (2)"
636,#39547,"HIGH (2)"
637,#39722,"LOW (0)"
638,#39863,"HIGH (2)"
639,#39866,"HIGH (2)"
640,#39867,"HIGH (2)"
643,#39963,"LOW (0)"
644,#485,"LOW (0)"
645,#40039,"LOW (0)"
